何,what,nani
電源,power supply,dengen
強制,Forced,kyōsei
革命,revolution,kakumei
潜入,Infiltration,sennyū
公平,fair,kōhei
公式,official,kōshiki
復活,revival,fukkatsu
派,Faction,ha
尾行,Tail,bikō
軍事,Military affairs,gunji
合衆,Cohesion,gōshū
含め,Including,fukume
結,Conclusion,yui
物事,things,monogoto
勿論,Of course,mochiron
念,Sense,nen
英国,British,eikoku
分け,Division,wake
地面,Ground,jimen
単に,simply,tanni
一瞬,for a moment,isshun
共同,Joint,kyōdō
販売,sale,hambai
体験,Experience,taiken
用事,business,yōji
存,Existence,son
身分,Status,mibun
集会,Rally,shūkai
火事,fire,kaji
車両,vehicle,sharyō
挑戦,challenge,chōsen
叔母,aunt,oba
配達,delivery,haitatsu
入手,obtain,nyūshu
資格,Qualification,shikaku
判事,Judge,hanji
小説,novel,shōsetsu
呪文,incantation,jumon
美味し,Delicious,umashi
女房,wife,nyōbō
反乱,Rebellion,hanran
マリア,Maria,maria
重大,Serious,jūdai
聖,Sacred,kiyoshi
産,Birth,san
通過,Passing,tsūka
正常,normal,seijō
アマンダ,Amanda,amanda
支え,Support,sasae
軍人,Soldier,gunjin
期間,period,kikan
アーロン,Aaron,āron
加わ,Join,kuwawa
五,Five,go
医学,Medicine,igaku
不要,Unnecessary,fuyō
天,Heaven,ten
馬鹿げ,Idiot,bakage
調整,Adjustment,chōsei
執行,Execution,shikkō
製,Manufacturing,sei
補,Supplement,ho
必死,Desperate,hisshi
バウアー,Bauer,bauā
不正,Fraud,fusei
クリア,clear,kuria
用件,Case,yōken
薬物,Drug,yakubutsu
創造,Creation,sōzō
乗り越え,Overcoming,norikoe
規模,scale,kibo
悪化,Worsening,akka
置き去り,Leaving behind,okizari
言い訳,excuse,īwake
業,Business,gō
申し上げ,Claim,mōshiage
制服,uniform,seifuku
顧客,client,kokyaku
護衛,escort,goei
無人,Unmanned,mujin
信仰,faith,shinkō
防,Prevention,bō
造,Construction,miyatsuko
当局,authorities,tōkyoku
告発,Accusation,kokuhatsu
日々,day to day,hibi
設定,setting,settei
正解,correct answer,seikai
変身,Transform,henshin
工作,Work,kōsaku
処刑,Execution,shokei
役割,role,yakuwari
一員,member,ichiin
発砲,Firing,happō
女子,Girl,joshi
電子,Electron,denshi
結論,Conclusion,ketsuron
真面目,serious,majime
予測,predict,yosoku
修正,Correction,shūsei
対象,subject,taishō
一時,Time,ichiji
風呂,bath,furo
取り出,Taking out,toride
手錠,handcuffs,tejō
牧師,Minister,bokushi
半沢,Semicircle,hanzawa
実現,realization,jitsugen
区,Ward,ku
種族,Race,shuzoku
時点,Point,jiten
代わ,Alternate,kawa
土曜,Saturday,doyō
広が,Widespread,hiroga
戦え,fight,tatakae
指令,Command,shirei
生き物,Creature,ikimono
美術,art,bijutsu
自慢,Pride,jiman
舞台,stage,butai
上げろ,Raise,agero
質,quality,shitsu
交通,traffic,kōtsū
引き起こ,Causing,hikioko
建て,Construction,tate
上昇,rise,jōshō
心理,Psychology,shinri
楽しめ,enjoy it,tanoshime
検討,examination,kentō
勤務,Work,kimmu
作用,Action,sayō
料,Fee,ryō
付き,Accompaniment,tsuki
隠れ家,Retreat,kakurega
隊長,Captain,taichō
世代,generation,sedai
前進,Advance,zenshin
決まり,Decision,kimari
繭子,Cowbo,mayuko
死因,cause of death,shiin
続き,continuation,tsuzuki
酸素,oxygen,sanso
凶器,Weapon,kyōki
引き受け,Undertake,hikiuke
助言,advice,jogen
国王,King,kokuō
外科,Surgery,geka
取り引き,transaction,torihiki
此処,here,koko
支払い,payment,shiharai
背後,Behind,haigo
図書,Book,tosho
際,edge,sai
症状,Symptoms,shōjō
話しかけ,Speech,hanashikake
引きず,Drag,hikizu
用心,Precaution,yōjin
転送,send on,tensō
公開,Release,kōkai
商売,business,shōbai
隔離,isolation,kakuri
理想,ideal,risō
月曜,Monday,getsuyō
派遣,Dispatch,haken
並,common,nami
表現,Expression,hyōgen
ジュニア,Junior,junia
乗客,passenger,jōkyaku
初めまして,nice to meet you,hajimemashite
目指,Aim,mokushi
年齢,age,nenrei
虐殺,Slaughter,gyakusatsu
アン,Ann,an
問,Question,toi
悪党,Villain,akutō
争,Dispute,争
使い,use,tsukai
現,Present,gen
本人,Person,honnin
十,Ten,jū
報道,Report,hōdō
分離,Separation,bunri
発信,Dissemination,hasshin
印象,impression,inshō
正面,front,shōmen
面会,Meeting,menkai
ヵ月,Month,kagetsu
上院,Senate,jōin
目立,Conspicuous,meritsu
戦略,strategy,senryaku
下り,Descent,kudari
艦長,Captain,kanchō
心当たり,Knowing,kokoroatari
引退,Retirement,intai
金融,Finance,kin'yū
無くな,No longer,nakuna
何千,Thousands,nansen
婦人,Woman,fujin
供給,supply,kyōkyū
同盟,alliance,dōmei
毎晩,every night,maiban
族,Tribe,zoku
商品,merchandise,shōhin
見当,Myanda,kentō
職員,Staff,shokuin
正式,Official,seishiki
近づけ,Approaching,chikazuke
一切,All,issai
祖母,grandmother,sobo
群れ,Flock,mure
皇帝,Emperor,kōtei
王女,princess,ōjo
共和,Republic,kyōwa
自転,rotation,jiten
アブ,Hop,abu
テア,Theater,tea
世の中,world,yononaka
級,Class,kyū
引っ越,Moving,hitsuetsu
魔術,Magic,majutsu
死人,Dead person,shinin
進化,evolution,shinka
直ちに,right away,tadachini
期,Period,ki
北部,Northern part,hokubu
充分,sufficient,jūbun
部長,Director,buchō
祝福,blessing,shukufuku
アイリス,Iris,airisu
庁,Government office,chō
アウト,out,auto
給料,salary,kyūryō
同情,sympathy,dōjō
議会,Parliament,gikai
黄色,yellow,kiiro
外国,foreign country,gaikoku
作動,Action,sadō
手掛かり,clue,tegakari
大臣,Minister,daijin
話題,topic,wadai
校長,head teacher,kōchō
恋愛,love,ren'ai
追加,addition,tsuika
検索,search,kensaku
連行,Derivation,renkō
立ち上が,Starting up,tachiaga
建設,construction,kensetsu
数百,hundreds,sūhyaku
成果,Achievement,seika
発言,comment,hatsugen
苦手,weak point,nigate
画像,image,gazō
取り組,Efforts,torigumi
何時,What time,itsu
類,Kind,rui
株,KK,kabu
司法,Justice,shihō
双子,twins,futago
放棄,Abandonment,hōki
出番,Turn,deban
電車,train,densha
玄関,front door,genkan
屋敷,Mansion,yashiki
当たり前,obvious,atarimae
直面,Facing,chokumen
共犯,Accomplice,kyōhan
笑い声,laughter,waraigoe
指名,name,shimei
具体,Concrete,gutai
野球,baseball,yakyū
突入,Entering,totsunyū
救世,Salvation,kyūsei
儀式,Ritual,gishiki
圧力,pressure,atsuryoku
ノア,Noah,noa
キャリア,Career,kyaria
聖書,Bible,seisho
連れ戻,Back,tsuremodo
アル,Al,aru
周辺,neighborhood,shūhen
高度,Advanced,kōdo
及,Aspect,及
大会,Conference,taikai
職場,workplace,shokuba
比べ,compared,kurabe
あた,Aspect,ata
日曜,Sunday,nichiyō
アドバイス,advice,adobaisu
知恵,wisdom,chie
融資,Loan,yūshi
最中,In the middle,saichū
乗り,Riding,nori
議長,Chairman,gichō
信念,belief,shinnen
連れ去,Taking away,tsuresa
入院,hospitalization,nyūin
気味,Creepy,kimi
借金,debt,shakkin
整理,Organizing,seiri
資産,assets,shisan
感動,Impressive,kandō
検死,Intolerance,kenshi
検察,Prosecutor,kensatsu
引け,Hesitancy,hike
アディ,Ade,adi
生涯,Life,shōgai
企,Planning,企
承認,Approval,shōnin
間抜け,Idiot,manuke
買い物,shopping,kaimono
高速,high speed,kōsoku
解雇,Dismissal,kaiko
昼食,lunch,chūshoku
天気,weather,tenki
引き金,trigger,hikigane
獲物,Prey,emono
再生,reproduction,saisei
古代,Ancient times,kodai
降伏,Surrender,gōbuku
南上,South,minamiue
役目,Role,yakume
宗教,religion,shūkyō
一同,All,ichidō
録,Record,roku
界,World,sakai
領域,region,ryōiki
ブライアン,Brian,buraian
屋上,rooftop,okujō
アルファ,alpha,arufa
暴行,assault,bōkō
発明,invention,hatsumei
社員,employee,shain
静流,Stagger,seiryū
検事,Prosecutor,kenji
世,world,yo
半年,Half a year,hantoshi
入り口,Entrance,irikuchi
あたり,Around,atari
同然,Like,dōzen
悪人,Bad man,akunin
達成,Achievement,tassei
弱点,Weakness,jakuten
評議,Discussion,hyōgi
戦場,battlefield,senjō
物理,Physics,butsuri
死に,Death,shini
進展,Progress,shinten
受信,Reception,jushin
菓子,Confectionery,kashi
高級,High -grade,kōkyū
死ね,Death,shine
アフリカ,Africa,afurika
主任,Chief,shunin
手順,procedure,tejun
野朗,Wild,norō
あちこち,Here and there,achikochi
時刻,Times of Day,jikoku
無効,invalid,mukō
防御,defense,bōgyo
送れ,Send,okure
複数,multiple,fukusū
下手,poor,heta
港,Port,minato
死後,After death,shigo
少々,a little,shōshō
電力,Electricity,denryoku
分間,Minute,funkan
廊下,hall,rōka
真ん中,middle,mannaka
事項,Matter,jikō
選べ,You can choose,erabe
処置,treatment,shochi
伝統,tradition,dentō
地点,point,chiten
曲が,Song,kyokuga
新人,Newcomer,shinjin
下ろせ,Drainage,orose
発電,Power generation,hatsuden
保存,keep,hozon
十字,cross,jūji
代償,Comparison,daishō
習,Training,習
愛情,love,aijō
評判,reputation,hyōban
誠人,Sincerity,masato
挙げ,List,age
構築,construction,kōchiku
解読,Decipherment,kaidoku
昇進,promotion,shōshin
住民,residents,jūmin
強化,Enhancement,kyōka
手続き,procedure,tetsuzuki
親愛,Love,shin'ai
直前,Right before,chokuzen
周囲,Surroundings,shūi
一歩,one step,ichiho
博物,Reality,hakubutsu
偽物,fake,nisemono
拡大,expansion,kakudai
競争,competition,kyōsō
随分,Considerably,zuibun
寄付,Donation,kifu
積,product,seki
以下,the following,ika
永久,Forever,eikyū
無用,useless,muyō
神聖,sacred,shinsei
消防,Firefighting,shōbō
大物,Big game,ōmono
製造,Manufacturing,seizō
立ち向か,Confronting,tachimuka
党,party,tō
公表,Publication,kōhyō
録音,recording,rokuon
素早,Quickness,subaya
ウィリアム,William,wiriamu
肉体,body,nikutai
年寄り,Elderly,toshiyori
誘導,Guidance,yūdō
起訴,Prosecution,kiso
内側,Inside,uchigawa
特徴,feature,tokuchō
友情,friendship,yūjō
やる気,Motivation,yaruki
自体,itself,jitai
広げ,Expansion,hiroge
取り上げ,Feature,toriage
やり直,Directly,yaritadashi
不法,Illegal,fuhō
展開,Development,tenkai
予備,spare,yobi
手下,Minion,teshita
カ月,Month,kagetsu
匿名,Anonymous,tokumei
張,Tension,chō
偵察,reconnaissance,teisatsu
国防,National defense,kokubō
王妃,Queen,ōhi
優勝,win,yūshō
黄金,Golden,ōgon
忠実,Faithful,chūjitsu
利口,Clever,rikō
中佐,Colonel,chūsa
取り除,Removal,torijo
分野,Field,bun'ya
果て,End,hate
登場,Appearance,tōjō
取締,control,torishimari
拍手,applause,hakushu
会計,total,kaikei
懸命,Hard,kemmei
部品,parts,buhin
本日,today,honjitsu
提出,Submission,teishutsu
売人,Seller,bainin
谷,valley,tani
争い,Conflict,arasoi
再開,Restart,saikai
人工,Artificial,jinkō
座標,Coordinate,zahyō
色んな,Various,ironna
地位,Status,chii
出会い,encounter,deai
置け,Place,oke
開放,Open,kaihō
経済,economic,keizai
小便,Piss,shōben
作家,Writer,sakka
率直,Frank,sotchoku
大声,Loud,ōgoe
手放,Release,tehō
基づ,Based,motozu
毎年,Every year,maitoshi
アビー,Abbey,abī
多少,Somewhat,tashō
編集,edit,henshū
数千,Thousands,sūsen
長年,Many years,naganen
独身,single,dokushin
材料,material,zairyō
部門,Department,bumon
エリア,area,eria
郡,county,gun
土,soil,do
出入り,Entering and leaving,deiri
意外,Surprisingly,igai
参,three,san
模様,pattern,moyō
予言,Prophecy,yogen
立ち去,Standing out,tachisa
植物,plant,shokubutsu
文書,documents,bunsho
善人,Good man,zennin
教わ,Teaching,kyōwa
先日,the other day,senjitsu
勝者,winner,shōsha
追放,Expulsion,tsuihō
付き合い,Dating,tsukiai
持ち主,Owner,mochinushi
適当,properness,tekitō
無料,free,muryō
孤児,Orphan,koji
手伝え,Help,tetsudae
空腹,Hunger,kūfuku
演,Performance,演
宣言,declaration,sengen
護,Protection,mamoru
引き上げ,Pulling up,hikiage
明白,Obvious,meihaku
制限,limit,seigen
侵略,Invasion,shinryaku
米,Rice,bei
幸福,happiness,kōfuku
合法,legal,gōhō
作り,Making,tsukuri
職業,Profession,shokugyō
国内,Domestic,kokunai
下着,underwear,shitagi
合格,Passing,gōkaku
ライアス,Rias,raiasu
化け物,monster,bakemono
葬式,funeral,sōshiki
音声,audio,onsei
構造,structure,kōzō
黙示,Apocalypse,mokushi
先ず,First,mazu
支店,branch,shiten
最強,strongest,saikyō
地震,earthquake,jishin
解明,Elucidation,kaimei
見付け,Founding,mitsuke
済ま,Finished,suma
購入,purchase,kōnyū
電波,Radio wave,dempa
提督,Admiral,teitoku
ツアー,Tours,tsuā
同行,Accompaniment,dōkō
尊重,respect,sonchō
期限,Deadline,kigen
メディア,media,media
空間,space,kūkan
自白,confession,jihaku
会見,Conference,kaiken
動脈,artery,dōmyaku
費用,cost,hiyō
マイアミ,Miami,maiami
狂気,Insanity,kyōki
銀,Silver,gin
海外,abroad,kaigai
売り,Selling,uri
劇場,theater,gekijō
隣人,neighbor,rinjin
木曜,Thursday,mokuyō
知り合,Acquaintance,shirigō
空け,Vacant,ake
多数,Majority,tasū
報復,Retaliation,hōfuku
面接,interview,mensetsu
外交,Diplomacy,gaikō
アンドリュー,Andrew,andoryū
内緒,secret,naisho
誠実,sincerity,seijitsu
中継,relay,chūkei
原子,atom,genshi
表示,display,hyōji
地方,Region,chihō
足跡,Footprint,ashiato
本名,Real name,hommyō
悪者,Bad guy,warumono
日付,date,hizuke
引き継,Take over,hikitsugi
守護,Protection,shugo
味わ,Taste,ajiwa
反撃,Counterattack,hangeki
再会,Reunion,saikai
言語,language,gengo
アフガニスタン,Afghanistan,afuganisutan
久利生,Hausui,hisarishō
行き先,destination,yukisaki
結末,Ending,ketsumatsu
無く,Without,naku
演技,acting,engi
継続,continuation,keizoku
無限,infinite,mugen
固定,Fixation,kotei
製品,product,seihin
送り込,Sending in,okurikomi
解け,Solving,toke
貨物,cargo,kamotsu
離陸,take off,ririku
潜水,diving,sensui
任,Appointment,nin
上着,Jacket,uwagi
空軍,Air Force,kūgun
アリ,Ants,ari
通話,Calling,tsūwa
押し入,Push -in,oshii
火曜,Tuesday,kayō
児,child,ko
一応,At once,ichiō
体制,System,taisei
栄光,glory,eikō
技,Technique,waza
単独,Independence,tandoku
自警,Police police,jikei
一晩,One night,ichiban
加速,acceleration,kasoku
過剰,excess,kajō
丁度,exactly,chōdo
不利,Unfavorable,furi
人種,Race,jinshu
民主,Democracy,minshu
交代,Change,kōtai
果,Fruit,hate
史上,History,shijō
引き渡,Handing over,hikiwatashi
独房,Germin,dokubō
民衆,people,minshū
陸軍,Army,rikugun
書け,Writing,kake
有効,valid,yūkō
検出,detection,kenshutsu
集合,set,shūgō
食え,Eating,kue
ピアノ,piano,piano
経歴,Career,keireki
判決,Judgment,hanketsu
利,Interest,ri
所持,Possession,shoji
進歩,Progress,shimpo
見解,View,kenkai
都,Capital,to
アーチャー,Archer,āchā
声明,statement,seimei
回避,Avoidance,kaihi
文化,culture,bunka
粒子,particle,ryūshi
アイリーン,Eyeline,airīn
通路,aisle,tsūro
坊主,Shaven,bōzu
持ち込,Bringing in,mochikomi
設置,Installation,setchi
載せ,Posting,nose
報,Report,hō
業界,industry,gyōkai
取り返,Obvious,torikae
意地,Intention,iji
獲得,Acquisition,kakutoku
変異,mutation,hen'i
調達,Procurement,chōtatsu
情熱,passion,jōnetsu
最適,Optimal,saiteki
区域,Area,kuiki
変人,geek,henjin
催眠,Hypnosis,saimin
現象,phenomenon,genshō
法的,legal,hōteki
本能,instinct,honnō
葉,leaf,ha
風邪,cold,kaze
仕上げ,Finishing,shiage
重力,gravity,jūryoku
着信,Incoming call,chakushin
台所,kitchen,daidokoro
変態,transformation,hentai
白状,Confidence,hakujō
アカデミー,Academy,akademī
飛び降り,Jumping off,tobiori
意気,Intention,iki
送り,Sending,okuri
近寄,Close,chikayo
成績,Result,seiseki
合流,Joining,gōryū
是非,I'd love to,zehi
例外,exception,reigai
同志,Comrades,dōshi
素直,honest,sunao
本来,Originally,honrai
皆殺し,Killing,minagoroshi
各,each,kaku
応,agreement,応
引き出,Withdrawal,hikide
主に,mainly,omoni
対抗,Competition,taikō
充電,charging,jūden
墓地,Graveyard,bochi
座り,sitting,suwari
売買,Buying and selling,baibai
大体,generally speaking,daitai
創,Foundation,sō
田舎,country,inaka
万歳,Banzai,banzai
同じく,Equally,onajiku
休め,Rest,yasume
見張り,Lookout,mihari
論,Argument,ron
番地,address,banchi
体重,body weight,taijū
直感,Intuition,chokkan
伝わ,Conveyor,tsutawa
衝動,impulse,shōdō
手首,wrist,tekubi
持ち帰,Take -back,mochikae
一種,One species,isshu
相応し,Appropriate,fusawashi
直後,Immediately after,chokugo
探知,Detection,tanchi
生き返,Revenge,ikikae
有能,efficient,yūnō
高価,expensive,kōka
人数,Number of people,ninzū
団体,Group,dantai
境界,boundary,kyōkai
制,Control,sei
日常,Everyday,nichijō
女優,actress,joyū
保持,Retention,hoji
迷子,Lost child,maigo
文明,civilization,bummei
有利,advantageous,yūri
向こう側,other side,mukōgawa
連合,Coalition,rengō
宮殿,Palace,kyūden
予感,Premonition,yokan
性的,sexual,seiteki
市警,Municipal police,shikei
次元,dimension,jigen
